%OpenBCI Raw EEG Data % %Sample Rate = 250.0 Hz %First Column = SampleIndex %Other Columns = EEG data in microvolts,,,,,,,,,,,,,,,,
-10,1594.53,23.22,3391.94,6950.39,379.44,8164.6,-499,5852.16,1594.53,23.22,3391.94,6950.39,379.44,8164.6,-499,5852.16
-9,1514.69,18.57,3233.07,6604.07,349.89,7759.76,-476.45,5560.33,1514.69,18.57,3233.07,6604.07,349.89,7759.76,-476.45,5560.33
-8,1447.83,30.24,3034.47,6224.27,335.99,7306.54,-446.43,5232.83,1447.83,30.24,3034.47,6224.27,335.99,7306.54,-446.43,5232.83
-7,1364.69,17.93,2861.38,5852.92,303.04,6864.29,-432.39,4911.73,1364.69,17.93,2861.38,5852.92,303.04,6864.29,-432.39,4911.73
-6,1310.95,23.36,2718.51,5570.17,295.91,6529.52,-407.32,4672.21,1310.95,23.36,2718.51,5570.17,295.91,6529.52,-407.32,4672.21
-5,1228.83,9.12,2560.1,5252.08,262.14,6155.85,-400.79,4400.54,1228.83,9.12,2560.1,5252.08,262.14,6155.85,-400.79,4400.54
-4,1150.85,23.18,2387.01,4918.7,249.33,5762.82,-373.63,4118.62,1150.85,23.18,2387.01,4918.7,249.33,5762.82,-373.63,4118.62
-3,998.34,24.23,2084.43,4298.02,214.46,5037.88,-340.35,3596.46,998.34,24.23,2084.43,4298.02,214.46,5037.88,-340.35,3596.46
-2,855.83,15.04,1797.21,3710.46,181.65,4348.15,-303.22,3099.58,855.83,15.04,1797.21,3710.46,181.65,4348.15,-303.22,3099.58
-1,778.13,8.36,1647.75,3397.78,153.87,3980.47,-289.05,2837.69,778.13,8.36,1647.75,3397.78,153.87,3980.47,-289.05,2837.69
0,729.78,19.78,1517.64,3142.39,147.05,3673.06,-261.2,2623.07,729.78,19.78,1517.64,3142.39,147.05,3673.06,-261.2,2623.07
-29,675.31,17.5,1392.51,2876.8,120.54,3361.5,-246.25,2402.05,675.31,17.5,1392.51,2876.8,120.54,3361.5,-246.25,2402.05
-28,631.59,27.81,1269.38,2616.29,118.8,3053.72,-218.49,2183.47,631.59,27.81,1269.38,2616.29,118.8,3053.72,-218.49,2183.47
-27,556.74,14.37,1130.33,2340.05,95.78,2730.89,-206.04,1953.61,556.74,14.37,1130.33,2340.05,95.78,2730.89,-206.04,1953.61
-26,499.9,14.98,1011.66,2099.28,89.16,2448.3,-184.38,1749.72,499.9,14.98,1011.66,2099.28,89.16,2448.3,-184.38,1749.72
-25,444.49,15.2,895.1,1857.7,72.02,2165.39,-172.35,1550.03,444.49,15.2,895.1,1857.7,72.02,2165.39,-172.35,1550.03
-24,387.15,20.5,778.51,1617.46,61.18,1883.54,-155.37,1348.86,387.15,20.5,778.51,1617.46,61.18,1883.54,-155.37,1348.86
-23,330.92,17.84,662.08,1373.05,47.14,1599.33,-136.35,1146.49,330.92,17.84,662.08,1373.05,47.14,1599.33,-136.35,1146.49
-22,281.92,17.99,552.87,1144.01,35.14,1331.74,-117.82,953.01,281.92,17.99,552.87,1144.01,35.14,1331.74,-117.82,953.01
-21,226.15,16.85,442.86,929.41,23.69,1079.14,-100.05,773.55,226.15,16.85,442.86,929.41,23.69,1079.14,-100.05,773.55
-20,166.86,10.21,338.03,707.43,8.16,819.39,-82.46,586.51,166.86,10.21,338.03,707.43,8.16,819.39,-82.46,586.51
